SALE TYPE,PROPERTY TYPE,ADDRESS,COUNTY,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,DAYS ON MARKET,Price/Square Feet,STATUS,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,url
MLS Listing,Single Family Residential,5092 Pearl Ave,Santa Clara,San Jose,CA,95136,1239999,4.0,2.5,SAN JOSE,1640.0,1.0,756.0,Active,https://www.redfin.com/CA/San-Jose/5092-Pearl-Ave-95136/home/862413,MLSListings,ML81943375,N,Y,37.2598904,-121.8630435,4.0,756.0,8768.0,80.0,Very bikeable,70.0,Very walkable,"Places2 groceries, 37 restaurants, 3 parksTransit27, 37, 64A, 70, 83, BBBLS, Blue (Trsa-StJa), Blue Line, Blue Line (Bayp-Capt), Blue Line (Blos-Trsa), Blue Line Modified, Blue Line Special, Blue-Event, Blue-South Portion, BlueN, BlueS, BusBridge (6/9-6/15), BusBridge (7/25-8/13), BusBridge (Capt-Blos), BusBridge (San Antonio), Event Blue, Event-Blue, Express 102, Levi's - Santa Teresa","Sep 28, 2023",Listed (Active)MLSListings #ML81943375,https://www.redfin.com/CA/San-Jose/5092-Pearl-Ave-95136/home/862413
MLS Listing,Single Family Residential,3288 MOUNT RAINIER Dr,Santa Clara,San Jose,CA,95127,1028000,3.0,2.0,SAN JOSE,1133.0,1.0,907.0,Active,https://www.redfin.com/CA/San-Jose/3288-Mount-Rainier-Dr-95127/home/1497763,MLSListings,ML81943370,N,Y,37.3500562,-121.8054797,4.0,907.0,7269.0,50.0,Bikeable,34.0,Car-dependent,"Places6 groceries, 22 restaurants, 4 parksTransit22, 23, 25, 26, 31, 39, 70, 71, 77, Event Orange, Event-Orange, Express 103, Levi's - Alum Rock, Orange Line, Orange Line Modified, Orange Line Special, Orange-East Portion, Orange-Event, OrangeE, Rapid 522","Sep 28, 2023",Listed (Active)MLSListings #ML81943370,https://www.redfin.com/CA/San-Jose/3288-Mount-Rainier-Dr-95127/home/1497763
MLS Listing,Single Family Residential,1940 Luby Dr,Santa Clara,San Jose,CA,95133,1275000,4.0,2.5,SAN JOSE,1681.0,2.0,758.0,Active,https://www.redfin.com/CA/San-Jose/1940-Luby-Dr-95133/home/1473893,MLSListings,ML81943216,N,Y,37.3644292,-121.8590408,6.0,758.0,9015.0,56.0,Bikeable,60.0,Somewhat walkable,"Places12 groceries, 31 restaurants, 2 parksTransit22, 23, 61, 64A, 64B, 70, 77, Event Orange, Event-Orange, Green-N, Green-S, Levi's - Alum Rock, Orange Line, Orange Line Modified, Orange Line Special, Orange-East Portion, Orange-Event, Orange-N, Orange-S, OrangeE, Rapid 500, Rapid 522, School 270","Sep 27, 2023",Listed (Active)MLSListings #ML81943216,https://www.redfin.com/CA/San-Jose/1940-Luby-Dr-95133/home/1473893
MLS Listing,Single Family Residential,1637 Jessica Way,Santa Clara,San Jose,CA,95121,750000,3.0,1.5,SAN JOSE,1097.0,2.0,684.0,Active,https://www.redfin.com/CA/San-Jose/1637-Jessica-Way-95121/home/1443334,MLSListings,ML81943360,N,Y,37.3134278,-121.8198067,7.0,684.0,5303.0,48.0,Somewhat bikeable,55.0,Somewhat walkable,"Places8 groceries, 33 restaurants, 3 parksTransit22, 26, 31, 39, 42, 70, 71, 72, 77, Express 103, Rapid 522","Sep 27, 2023",Listed (Active)MLSListings #ML81943360,https://www.redfin.com/CA/San-Jose/1637-Jessica-Way-95121/home/1443334
MLS Listing,Single Family Residential,3275 Percivale Dr,Santa Clara,San Jose,CA,95127,999000,4.0,2.0,SAN JOSE,1242.0,2.0,804.0,Active,https://www.redfin.com/CA/San-Jose/3275-Percivale-Dr-95127/home/1091711,MLSListings,ML81943359,N,Y,37.3840067,-121.8368454,2.0,804.0,7064.0,57.0,Bikeable,45.0,Car-dependent,"Places3 groceries, 28 restaurants, 6 parksTransit23, 25, 61, 64A, 64B, 70, 71, Event Orange, Event-Orange, Levi's - Alum Rock, Orange Line, Orange Line Modified, Orange Line Special, Orange-East Portion, Orange-Event, OrangeE, Rapid 522, School 270","Sep 27, 2023",Listed (Active)MLSListings #ML81943359,https://www.redfin.com/CA/San-Jose/3275-Percivale-Dr-95127/home/1091711
MLS Listing,Single Family Residential,3036 Silverland Dr,Santa Clara,San Jose,CA,95135,2468000,4.0,3.0,SAN JOSE,2663.0,2.0,927.0,Active,https://www.redfin.com/CA/San-Jose/3036-Silverland-Dr-95135/home/958039,MLSListings,ML81943355,N,Y,37.3126186,-121.7813599,9.0,927.0,17450.0,56.0,Bikeable,30.0,Car-dependent,"Places6 groceries, 29 restaurants, 1 parkTransit31, 39, 42, 71","Sep 27, 2023",Listed (Active)MLSListings #ML81943355,https://www.redfin.com/CA/San-Jose/3036-Silverland-Dr-95135/home/958039
MLS Listing,Townhouse,101 Escobar Ct,Santa Clara,Los Gatos,CA,95032,1428000,3.0,2.0,LOS GATOS,1494.0,2.0,956.0,Active,https://www.redfin.com/CA/Los-Gatos/101-Escobar-Ct-95032/home/1519527,MLSListings,ML81943354,N,Y,37.2429558,-121.9433667,8.0,956.0,10501.0,52.0,Bikeable,41.0,Car-dependent,"Places4 groceries, 11 restaurants, 9 parksTransit27, 37, 61, Express 101","Sep 27, 2023",Price ChangedMLSListings #ML81943354,https://www.redfin.com/CA/Los-Gatos/101-Escobar-Ct-95032/home/1519527
MLS Listing,Mobile/Manufactured Home,2151 Oakland Rd #28,Santa Clara,San Jose,CA,95131,260000,3.0,2.0,SAN JOSE,1440.0,2.0,181.0,Active,https://www.redfin.com/CA/San-Jose/2151-Old-Oakland-Rd-95131/unit-28/home/104436509,MLSListings,ML81943348,N,Y,37.3964341,-121.902613,6.0,181.0,1838.0,57.0,Bikeable,39.0,Car-dependent,"Places4 groceries, 21 restaurants, 3 parksTransit20, 200, 217, 44, 47, 60, 66, 70, 71, 77, ACE Brown, ACE Violet, Event Orange, Event-Orange, Levi's - Alum Rock, Orange Line, Orange Line Modified, Orange Line Special, Orange-East Portion, Orange-Event, OrangeE","Sep 27, 2023",Listed (Active)MLSListings #ML81943348,https://www.redfin.com/CA/San-Jose/2151-Old-Oakland-Rd-95131/unit-28/home/104436509
MLS Listing,Multi-Family (2-4 Unit),2102 Lynnhaven Dr,Santa Clara,San Jose,CA,95128,1225000,4.0,2.0,SAN JOSE,1500.0,2.0,817.0,Active,https://www.redfin.com/CA/San-Jose/2102-Lynnhaven-Dr-95128/home/1305834,MLSListings,ML81943347,N,Y,37.3082482,-121.9297782,6.0,817.0,8662.0,73.0,Very bikeable,75.0,Very walkable,"Places3 groceries, 19 restaurants, 2 parksTransit23, 25, 56, 59, 60, 61, 64B, Event Green, Express 103, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS, Rapid 523, SCVMC, SCVMC Shuttle","Sep 27, 2023",Listed (Active)MLSListings #ML81943347,https://www.redfin.com/CA/San-Jose/2102-Lynnhaven-Dr-95128/home/1305834
MLS Listing,Single Family Residential,629 Union Ave,Santa Clara,Campbell,CA,95008,1249000,3.0,2.5,CAMPBELL,1318.0,2.0,948.0,Active,https://www.redfin.com/CA/Campbell/629-Union-Ave-95008/home/701539,MLSListings,ML81943339,N,Y,37.2780406,-121.9365028,8.0,948.0,9041.0,84.0,Very bikeable,71.0,Very walkable,"Places3 groceries, 26 restaurants, 2 parksTransit26, 27, 37, 56, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 27, 2023",Listed (Active)MLSListings #ML81943339,https://www.redfin.com/CA/Campbell/629-Union-Ave-95008/home/701539
