PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_PRICE
Single Family Residential,Sunnyvale,94085,1375000,3.0,2.0,1050.0,5.0,5.0,6.0,1310.0,1391954.0,9722.0,1375000.0,,370400.0
Condo/Co-op,Mountain View,94040,849888,2.0,2.0,1140.0,9.0,7.0,8.0,746.0,842447.0,6620.0,849888.0,875999.0,
Mobile/Manufactured Home,Sunnyvale,94089,219000,2.0,2.0,1464.0,4.0,5.0,6.0,150.0,218005.0,1548.0,219000.0,,49500.0
Single Family Residential,Sunnyvale,94087,1988000,3.0,2.0,1205.0,8.0,6.0,8.0,1650.0,,14056.0,1988000.0,1500000.0,
Mobile/Manufactured Home,Sunnyvale,94089,299000,3.0,2.0,1562.0,7.0,6.0,8.0,191.0,301468.0,2114.0,299000.0,325000.0,
Mobile/Manufactured Home,Sunnyvale,94089,310000,3.0,2.0,1789.0,7.0,6.0,8.0,173.0,309992.0,2192.0,310000.0,,189000.0
Single Family Residential,Sunnyvale,94089,1500000,3.0,2.0,1388.0,4.0,5.0,6.0,1081.0,1495968.0,10606.0,1500000.0,,429900.0
Single Family Residential,Sunnyvale,94087,3498000,4.0,2.0,1755.0,9.0,7.0,8.0,1993.0,3480567.0,24733.0,3498000.0,,895000.0
Condo/Co-op,Sunnyvale,94085,859950,2.0,2.0,1061.0,5.0,5.0,6.0,811.0,863376.0,6648.0,859950.0,,688000.0
Single Family Residential,Sunnyvale,94087,2360000,3.0,2.5,1988.0,5.0,7.0,6.0,1187.0,2374590.0,16812.0,2360000.0,,
Townhouse,Sunnyvale,94089,1688000,3.0,3.5,1992.0,4.0,5.0,6.0,847.0,1702196.0,12222.0,1688000.0,,
Condo/Co-op,Sunnyvale,94086,748800,2.0,1.0,840.0,7.0,6.0,8.0,891.0,749108.0,5804.0,748800.0,,
Condo/Co-op,Sunnyvale,94086,723000,2.0,1.0,840.0,7.0,6.0,8.0,861.0,721774.0,5622.0,723000.0,,
Condo/Co-op,Sunnyvale,94089,1280000,2.0,2.0,1002.0,4.0,5.0,6.0,1277.0,1266831.0,9399.0,1280000.0,,898000.0
Townhouse,Sunnyvale,94087,949889,2.0,2.5,1171.0,5.0,7.0,6.0,811.0,956853.0,7246.0,949889.0,,
Townhouse,Sunnyvale,94087,1190000,2.0,2.5,1092.0,9.0,7.0,8.0,1090.0,1202671.0,8864.0,1190000.0,,950000.0
Mobile/Manufactured Home,Sunnyvale,94089,329900,3.0,2.0,1333.0,7.0,6.0,8.0,247.0,325451.0,2333.0,329900.0,,
Townhouse,Sunnyvale,94087,1449000,3.0,2.5,1512.0,9.0,8.0,6.0,958.0,1479539.0,10395.0,1449000.0,,769000.0
Condo/Co-op,Sunnyvale,94086,748800,2.0,1.0,917.0,7.0,6.0,8.0,817.0,746037.0,5804.0,748800.0,,289000.0
Single Family Residential,Sunnyvale,94087,1950000,4.0,3.0,1907.0,8.0,6.0,8.0,1023.0,,13788.0,1950000.0,,
Condo/Co-op,Santa Clara,95051,1018000,1.0,1.0,936.0,5.0,6.0,8.0,1088.0,998841.0,7816.0,1018000.0,1030000.0,
Single Family Residential,Sunnyvale,94085,1424888,3.0,2.0,1196.0,3.0,5.0,6.0,1191.0,1423055.0,10075.0,1424888.0,,
Townhouse,Mountain View,94041,1749000,3.0,3.5,1670.0,6.0,7.0,8.0,1047.0,1748464.0,12740.0,1749000.0,,
Condo/Co-op,Sunnyvale,94085,839888,3.0,2.0,1134.0,3.0,5.0,6.0,741.0,831448.0,6434.0,839888.0,875000.0,
Townhouse,Sunnyvale,94086,1349999,3.0,3.0,1771.0,6.0,6.0,8.0,762.0,1331516.0,9790.0,1349999.0,1399999.0,1449888.0
Condo/Co-op,Santa Clara,95051,849000,2.0,2.0,1360.0,7.0,6.0,8.0,624.0,851776.0,6778.0,849000.0,,849000.0
Condo/Co-op,Sunnyvale,94086,1207678,2.0,2.0,1078.0,6.0,6.0,8.0,1120.0,1200305.0,8933.0,1207678.0,1282678.0,
Multi-Family (5+ Unit),Sunnyvale,94087,2100000,5.0,6.0,2838.0,7.0,7.0,8.0,740.0,,14848.0,2100000.0,,
Townhouse,Mountain View,94041,1675000,3.0,3.5,1637.0,6.0,7.0,8.0,1023.0,1673480.0,12216.0,1675000.0,1739000.0,
Condo/Co-op,Mountain View,94040,875000,2.0,2.0,1140.0,9.0,7.0,8.0,768.0,868483.0,6798.0,,,875000.0
Single Family Residential,Sunnyvale,94089,2370000,3.0,2.5,1849.0,6.0,5.0,6.0,1282.0,2342197.0,16757.0,2370000.0,2449000.0,
Mobile/Manufactured Home,Sunnyvale,94089,339000,3.0,2.0,1620.0,7.0,6.0,8.0,209.0,336554.0,2397.0,339000.0,349000.0,
Single Family Residential,Sunnyvale,94089,1398000,3.0,2.0,1108.0,4.0,5.0,6.0,1262.0,1395572.0,9885.0,,,1480000.0
Single Family Residential,Sunnyvale,94086,3999000,5.0,5.5,3663.0,4.0,7.0,8.0,1092.0,3698430.0,28275.0,3999000.0,3699000.0,
Mobile/Manufactured Home,Sunnyvale,94089,319000,3.0,2.0,1554.0,7.0,6.0,8.0,205.0,315027.0,2256.0,319000.0,,
Single Family Residential,Sunnyvale,94086,3170000,5.0,3.0,2149.0,7.0,6.0,8.0,1475.0,2882470.0,22414.0,3170000.0,,
Condo/Co-op,Santa Clara,95051,1599900,4.0,3.5,1940.0,5.0,6.0,8.0,825.0,1566038.0,11638.0,1599900.0,1639999.0,1669999.0
Condo/Co-op,Mountain View,94040,825000,2.0,2.0,1140.0,9.0,7.0,8.0,724.0,815216.0,6445.0,825000.0,875000.0,
Mobile/Manufactured Home,Sunnyvale,94089,224900,3.0,2.0,1392.0,7.0,6.0,8.0,162.0,224387.0,1590.0,224900.0,250000.0,
Condo/Co-op,Sunnyvale,94085,825000,2.0,2.0,970.0,3.0,5.0,6.0,851.0,810820.0,6183.0,825000.0,850000.0,
Mobile/Manufactured Home,Sunnyvale,94089,219900,2.0,2.0,1120.0,4.0,5.0,6.0,196.0,213449.0,1555.0,219900.0,,75000.0
Other,Santa Clara,95051,4000000,,,,7.0,6.0,8.0,,,28282.0,4000000.0,,
Single Family Residential,Sunnyvale,94086,1500000,3.0,1.0,865.0,5.0,7.0,6.0,1734.0,1463436.0,10606.0,1500000.0,1099900.0,
Condo/Co-op,Sunnyvale,94085,798888,2.0,2.0,1012.0,4.0,7.0,8.0,789.0,782293.0,6148.0,798888.0,825000.0,
Mobile/Manufactured Home,Sunnyvale,94089,249999,2.0,2.0,1440.0,4.0,5.0,6.0,174.0,243776.0,1768.0,249999.0,,49500.0
Mobile/Manufactured Home,Sunnyvale,94089,225000,2.0,2.0,1952.0,4.0,5.0,6.0,115.0,215574.0,1591.0,225000.0,,
Mobile/Manufactured Home,Sunnyvale,94089,238900,2.0,2.0,1440.0,4.0,5.0,6.0,166.0,235702.0,1689.0,,,
Single Family Residential,Santa Clara,95051,2538888,4.0,2.5,2701.0,8.0,6.0,8.0,940.0,2552760.0,17952.0,2538888.0,2568888.0,2568000.0
Mobile/Manufactured Home,Sunnyvale,94089,369000,3.0,2.0,1519.0,7.0,6.0,8.0,243.0,361777.0,2609.0,369000.0,,299000.0
Condo/Co-op,Sunnyvale,94085,1000000,3.0,2.0,1300.0,5.0,5.0,6.0,769.0,978228.0,7633.0,1000000.0,1050000.0,
Mobile/Manufactured Home,Sunnyvale,94089,260000,3.0,2.0,1400.0,7.0,6.0,8.0,186.0,246899.0,1839.0,260000.0,,
Condo/Co-op,Sunnyvale,94086,1350000,3.0,2.5,1783.0,5.0,7.0,6.0,757.0,1318755.0,9840.0,1350000.0,1550000.0,
Mobile/Manufactured Home,Sunnyvale,94089,290000,2.0,2.0,1484.0,4.0,5.0,6.0,195.0,283171.0,2050.0,290000.0,,
Multi-Family (5+ Unit),Sunnyvale,94085,11999000,24.0,24.0,31696.0,3.0,5.0,6.0,379.0,,84840.0,11999000.0,13999000.0,14500000.0
Townhouse,Sunnyvale,94086,1254479,2.0,2.5,1121.0,6.0,6.0,8.0,1119.0,1247857.0,8870.0,,,
Townhouse,Sunnyvale,94086,1280000,2.0,2.5,1121.0,6.0,6.0,8.0,1142.0,,9050.0,,,
Townhouse,Sunnyvale,94086,1388300,2.0,2.0,1232.0,6.0,6.0,8.0,1127.0,,9816.0,,,
Townhouse,Sunnyvale,94086,1277356,2.0,2.0,1078.0,6.0,6.0,8.0,1185.0,,9032.0,,,
Townhouse,Sunnyvale,94086,1481947,2.0,2.5,1444.0,6.0,6.0,8.0,1026.0,,10478.0,,,
Townhouse,Sunnyvale,94086,1301880,2.0,2.5,1216.0,6.0,6.0,8.0,1071.0,,9205.0,,,
Townhouse,Sunnyvale,94086,1544995,2.0,2.5,1658.0,5.0,7.0,6.0,932.0,,10924.0,,,
Townhouse,Sunnyvale,94086,1824995,3.0,3.5,1917.0,5.0,7.0,6.0,952.0,,12904.0,,,
Townhouse,Sunnyvale,94086,2039995,4.0,3.5,2387.0,5.0,7.0,6.0,855.0,,14424.0,,,
Townhouse,Sunnyvale,94086,1964995,4.0,4.0,2219.0,5.0,7.0,6.0,886.0,,13894.0,,,
Townhouse,Sunnyvale,94086,2024995,4.0,3.5,2346.0,5.0,7.0,6.0,863.0,,14318.0,,,
Condo/Co-op,Fremont,94536,799950,2.0,2.0,1270.0,7.0,6.0,7.0,630.0,802342.0,6263.0,799950.0,,
Townhouse,Fremont,94536,1150000,2.0,1.5,891.0,7.0,6.0,7.0,1291.0,1177843.0,8252.0,1150000.0,,299888.0
Single Family Residential,Fremont,94538,1698888,3.0,2.0,1600.0,5.0,7.0,7.0,1062.0,,12191.0,1698888.0,,989000.0
Single Family Residential,Fremont,94539,2200000,4.0,2.0,1698.0,9.0,10.0,10.0,1296.0,,15555.0,2200000.0,,994500.0
Condo/Co-op,Fremont,94539,700000,2.0,2.0,897.0,,7.0,9.0,780.0,,5023.0,700000.0,,529999.0
Condo/Co-op,Fremont,94536,420000,1.0,1.0,623.0,7.0,6.0,7.0,674.0,,3014.0,420000.0,,388000.0
Single Family Residential,Fremont,94538,1275000,3.0,2.0,1126.0,8.0,7.0,9.0,1132.0,,9149.0,1275000.0,,549000.0
Single Family Residential,Fremont,94536,1695000,4.0,2.0,2147.0,8.0,6.0,7.0,789.0,,12224.0,1695000.0,,
Single Family Residential,Fremont,94536,980000,3.0,1.0,1074.0,5.0,6.0,7.0,912.0,974987.0,6929.0,980000.0,,
Single Family Residential,Fremont,94539,1599999,4.0,3.5,1911.0,,7.0,9.0,837.0,1627095.0,11428.0,1599999.0,,
Single Family Residential,Fremont,94538,1088888,3.0,1.0,950.0,5.0,7.0,7.0,1146.0,1099503.0,7813.0,1088888.0,,
Townhouse,Fremont,94539,999000,2.0,2.0,1450.0,,7.0,9.0,689.0,1008755.0,7403.0,999000.0,,899000.0
Condo/Co-op,Fremont,94536,748000,3.0,2.0,1101.0,7.0,6.0,7.0,679.0,747304.0,5827.0,748000.0,,
Mobile/Manufactured Home,Fremont,94536,168000,2.0,2.0,1344.0,7.0,6.0,7.0,125.0,166323.0,1188.0,168000.0,,
Condo/Co-op,Fremont,94538,599000,2.0,1.0,882.0,7.0,7.0,7.0,679.0,602121.0,4863.0,599000.0,,
Single Family Residential,Fremont,94536,1650000,3.0,2.0,1781.0,7.0,6.0,7.0,926.0,1656988.0,11870.0,1650000.0,,
Condo/Co-op,Fremont,94555,770000,2.0,2.0,892.0,8.0,7.0,9.0,863.0,772355.0,5779.0,770000.0,,559000.0
Condo/Co-op,Fremont,94555,1550000,4.0,3.5,1969.0,8.0,7.0,9.0,787.0,1539924.0,11243.0,1550000.0,,988888.0
Townhouse,Fremont,94536,1639000,4.0,3.5,2191.0,7.0,7.0,7.0,748.0,1637330.0,12046.0,1639000.0,,
Single Family Residential,Fremont,94536,1799000,4.0,3.0,2196.0,7.0,6.0,7.0,819.0,1814977.0,13049.0,1799000.0,,885000.0
Mobile/Manufactured Home,Fremont,94555,198800,2.0,2.0,1152.0,8.0,7.0,9.0,173.0,197219.0,1427.0,198800.0,,89950.0
Condo/Co-op,Fremont,94538,910000,2.0,2.0,1102.0,7.0,6.0,7.0,826.0,912081.0,7010.0,910000.0,,
Townhouse,Fremont,94536,1099000,3.0,2.5,1400.0,8.0,6.0,7.0,785.0,1095735.0,8106.0,1099000.0,,925000.0
Single Family Residential,Fremont,94539,2699000,4.0,2.5,2539.0,9.0,10.0,10.0,1063.0,2732018.0,19084.0,2699000.0,,
Condo/Co-op,Fremont,94538,898000,2.0,2.5,1157.0,7.0,7.0,7.0,776.0,,6684.0,898000.0,,
Condo/Co-op,Fremont,94538,1296880,4.0,3.0,1569.0,8.0,7.0,9.0,827.0,,9640.0,1296880.0,,
Single Family Residential,Fremont,94536,1350000,3.0,2.0,1558.0,7.0,7.0,9.0,866.0,1353718.0,9545.0,1350000.0,,
Single Family Residential,Newark,94560,1075000,3.0,2.0,1126.0,6.0,4.0,5.0,955.0,1082836.0,7714.0,1075000.0,,
Single Family Residential,Fremont,94536,1799000,3.0,2.5,2281.0,7.0,6.0,7.0,789.0,2023341.0,12909.0,1799000.0,,
Single Family Residential,Fremont,94555,1490000,4.0,2.0,1629.0,8.0,7.0,9.0,915.0,1519304.0,10535.0,1490000.0,,
Single Family Residential,Union City,94587,1098888,3.0,2.0,1392.0,,,6.0,789.0,1242086.0,7770.0,1098888.0,,
Single Family Residential,Fremont,94539,1699999,3.0,2.0,1749.0,9.0,10.0,10.0,972.0,1891936.0,12199.0,1699999.0,,
Multi-Family (2-4 Unit),Fremont,94536,1425000,2.0,,2216.0,7.0,6.0,7.0,643.0,1455841.0,10225.0,1425000.0,,
Condo/Co-op,Fremont,94539,699000,2.0,2.0,1051.0,,7.0,9.0,665.0,711593.0,5392.0,699000.0,,
Single Family Residential,Fremont,94536,1580000,4.0,2.0,1724.0,8.0,6.0,7.0,916.0,1593591.0,11338.0,1580000.0,,
Single Family Residential,Fremont,94555,1395000,3.0,2.5,1373.0,8.0,7.0,9.0,946.0,1479726.0,9185.0,1299000.0,1395000.0,
Single Family Residential,Fremont,94555,1388000,4.0,2.5,1642.0,8.0,7.0,9.0,845.0,1424147.0,9879.0,1388000.0,,
Townhouse,Fremont,94538,699000,2.0,2.0,850.0,7.0,7.0,7.0,822.0,730013.0,5351.0,699000.0,,
Single Family Residential,Fremont,94539,1525000,3.0,2.5,1785.0,,7.0,9.0,854.0,1596580.0,10882.0,1525000.0,,
Single Family Residential,Fremont,94536,1375000,3.0,2.0,1178.0,5.0,6.0,7.0,1167.0,1446434.0,9722.0,1375000.0,,650000.0
Other,Fremont,94536,4950000,,,,7.0,6.0,7.0,,,35520.0,4950000.0,,
Townhouse,Newark,94560,1170000,3.0,3.0,1540.0,,4.0,5.0,760.0,1220120.0,8709.0,1170000.0,,
Single Family Residential,Fremont,94539,1799888,3.0,2.0,1470.0,9.0,10.0,10.0,1224.0,1984612.0,12726.0,1799888.0,,
Condo/Co-op,Fremont,94538,649999,2.0,2.0,1013.0,7.0,7.0,7.0,642.0,655000.0,5055.0,649999.0,,
Single Family Residential,Fremont,94538,1398000,4.0,3.5,2093.0,7.0,7.0,7.0,668.0,1464542.0,10182.0,1398000.0,,
Single Family Residential,Fremont,94536,1599000,4.0,2.0,1676.0,8.0,6.0,7.0,954.0,1624079.0,11331.0,1599000.0,,509888.0
Multi-Family (2-4 Unit),Fremont,94536,960000,2.0,,1662.0,7.0,6.0,7.0,578.0,952678.0,6788.0,960000.0,,
Townhouse,Fremont,94538,1520000,3.0,2.5,1935.0,7.0,7.0,7.0,786.0,1511591.0,11172.0,1520000.0,,589950.0
Single Family Residential,Fremont,94539,2899000,4.0,4.0,2704.0,9.0,10.0,10.0,1072.0,2898414.0,20802.0,2899000.0,,869800.0
Single Family Residential,Fremont,94538,1265000,3.0,2.0,1450.0,7.0,7.0,7.0,872.0,1287612.0,9077.0,1265000.0,2295000.0,
Single Family Residential,Fremont,94538,1265000,2.0,1.0,1035.0,7.0,7.0,7.0,1222.0,1268137.0,9077.0,1265000.0,,
Condo/Co-op,Fremont,94538,495000,1.0,1.0,922.0,5.0,7.0,7.0,537.0,496909.0,4120.0,495000.0,,388888.0
Condo/Co-op,Fremont,94536,620000,2.0,2.0,1050.0,7.0,7.0,9.0,590.0,620888.0,4962.0,620000.0,599000.0,
Condo/Co-op,Fremont,94539,1199900,3.0,2.0,1612.0,9.0,7.0,7.0,744.0,1204181.0,9253.0,1199900.0,,
Single Family Residential,Fremont,94539,4288800,6.0,4.0,5359.0,9.0,7.0,9.0,800.0,4281680.0,30940.0,4288800.0,,
Single Family Residential,Fremont,94539,2779000,4.0,3.0,2254.0,9.0,10.0,10.0,1233.0,2842141.0,19721.0,2779000.0,,
Townhouse,Fremont,94536,849888,2.0,2.5,1213.0,7.0,6.0,7.0,701.0,871504.0,6524.0,849888.0,,
Condo/Co-op,Fremont,94538,649900,2.0,2.0,1146.0,5.0,7.0,7.0,567.0,652170.0,5256.0,649900.0,,282000.0
Condo/Co-op,Fremont,94536,599888,2.0,2.0,960.0,5.0,6.0,7.0,625.0,598781.0,4797.0,599888.0,,219900.0
Single Family Residential,Fremont,94536,1879888,4.0,2.5,1980.0,8.0,7.0,9.0,949.0,2013283.0,13292.0,1879888.0,,
Condo/Co-op,Fremont,94536,599000,2.0,2.0,1052.0,7.0,7.0,9.0,569.0,600186.0,4813.0,599000.0,,499000.0
Condo/Co-op,Fremont,94536,899998,2.0,2.0,1168.0,7.0,6.0,7.0,771.0,998945.0,6789.0,899998.0,999998.0,
Single Family Residential,Fremont,94536,1899900,5.0,3.0,2483.0,7.0,7.0,7.0,765.0,1902188.0,13663.0,1899900.0,1988000.0,1899900.0
Single Family Residential,Fremont,94539,1788800,4.0,2.0,1583.0,9.0,10.0,10.0,1130.0,1808255.0,12685.0,1788800.0,,1588800.0
Condo/Co-op,Fremont,94555,799000,2.0,2.0,1100.0,8.0,7.0,9.0,726.0,817246.0,6007.0,,,
Single Family Residential,Fremont,94536,1550000,4.0,3.0,1563.0,7.0,6.0,7.0,992.0,1688768.0,11052.0,1550000.0,1695000.0,
Single Family Residential,Fremont,94539,3999000,5.0,5.5,4791.0,9.0,7.0,9.0,835.0,3957863.0,28867.0,3999000.0,,
Single Family Residential,Fremont,94536,1499888,3.0,2.0,1580.0,5.0,6.0,7.0,949.0,,10763.0,1499888.0,,
Condo/Co-op,Fremont,94536,949990,2.0,2.5,1400.0,8.0,6.0,7.0,679.0,955582.0,7102.0,949990.0,,
Single Family Residential,Fremont,94538,1295000,3.0,3.0,1776.0,8.0,7.0,7.0,729.0,1282473.0,9726.0,,,1325000.0
Single Family Residential,Fremont,94539,2250000,4.0,3.0,2107.0,9.0,10.0,10.0,1068.0,2397160.0,16145.0,2250000.0,,718888.0
Single Family Residential,Union City,94587,1688800,5.0,3.5,2320.0,,,6.0,728.0,1736126.0,12118.0,1688800.0,1749950.0,
Condo/Co-op,Fremont,94538,975000,2.0,2.5,1290.0,5.0,7.0,7.0,756.0,965991.0,7644.0,975000.0,,
Townhouse,Fremont,94555,849999,3.0,1.5,1166.0,8.0,7.0,9.0,729.0,849239.0,6450.0,849999.0,,268000.0
Condo/Co-op,Fremont,94538,1116691,2.0,2.0,1335.0,8.0,7.0,7.0,836.0,,8613.0,1116691.0,,
Single Family Residential,Union City,94587,1495000,3.0,2.0,1794.0,,,6.0,833.0,1486519.0,10571.0,,1495000.0,1170000.0
Condo/Co-op,Fremont,94538,1188180,2.0,2.0,1462.0,8.0,7.0,7.0,813.0,,9001.0,1103180.0,1188180.0,1188180.0
Condo/Co-op,Fremont,94538,1218733,3.0,2.0,1771.0,8.0,7.0,7.0,688.0,,9217.0,1218733.0,,
Condo/Co-op,Fremont,94539,1249000,3.0,2.0,1431.0,9.0,10.0,10.0,873.0,1276065.0,9131.0,1249000.0,,638610.0
Mobile/Manufactured Home,Fremont,94536,230000,2.0,2.0,1368.0,7.0,6.0,7.0,168.0,227373.0,1626.0,230000.0,,49800.0
Condo/Co-op,Fremont,94539,696714,2.0,2.0,906.0,8.0,7.0,9.0,769.0,696643.0,5458.0,696714.0,,
Townhouse,Fremont,94538,949000,3.0,2.0,1300.0,8.0,7.0,9.0,730.0,949061.0,7264.0,949000.0,968000.0,
Multi-Family (2-4 Unit),Fremont,94536,1299900,4.0,,1796.0,5.0,6.0,7.0,724.0,1270732.0,9191.0,1299900.0,1349900.0,
Single Family Residential,Newark,94560,1038888,3.0,2.0,1190.0,6.0,4.0,5.0,873.0,1035805.0,7455.0,1038888.0,,1018000.0
Townhouse,Fremont,94536,749900,2.0,1.5,976.0,8.0,6.0,7.0,768.0,746245.0,5612.0,749900.0,,589950.0
Single Family Residential,Fremont,94536,1899950,3.0,2.0,1671.0,7.0,7.0,7.0,1137.0,,13464.0,1899950.0,,
Condo/Co-op,Fremont,94539,588888,1.0,1.0,827.0,,7.0,9.0,712.0,584478.0,4623.0,588888.0,599950.0,
Condo/Co-op,Fremont,94539,1100259,3.0,2.0,1602.0,8.0,7.0,9.0,687.0,1014617.0,8402.0,,,969800.0
Condo/Co-op,Fremont,94539,796619,1.0,1.0,1067.0,8.0,7.0,9.0,747.0,716936.0,6266.0,,,633800.0
Single Family Residential,Fremont,94536,950000,3.0,2.5,1236.0,7.0,6.0,7.0,769.0,986150.0,6717.0,,,950000.0
Multi-Family (5+ Unit),Fremont,94536,5500000,,,10729.0,7.0,6.0,7.0,513.0,,38888.0,5500000.0,,
Single Family Residential,Fremont,94539,1888000,4.0,2.5,1617.0,9.0,7.0,9.0,1168.0,1894829.0,13349.0,1888000.0,,439888.0
Condo/Co-op,Fremont,94539,1213797,2.0,2.0,1830.0,9.0,7.0,7.0,663.0,,9333.0,1213797.0,,
Single Family Residential,Fremont,94538,1650000,4.0,3.5,2140.0,7.0,7.0,9.0,771.0,,12005.0,1650000.0,1699000.0,
Condo/Co-op,Fremont,94539,1150000,3.0,2.0,1530.0,9.0,7.0,7.0,752.0,1149408.0,8701.0,1150000.0,,
Townhouse,Fremont,94538,1343535,3.0,3.5,1891.0,9.0,7.0,7.0,710.0,,9880.0,1343535.0,,
Single Family Residential,Fremont,94539,3999000,4.0,2.5,2820.0,9.0,7.0,9.0,1418.0,3987116.0,28450.0,3999000.0,4299999.0,1699888.0
Townhouse,Fremont,94538,1336535,3.0,3.5,1891.0,9.0,7.0,7.0,707.0,,9830.0,1336535.0,,
Condo/Co-op,Fremont,94538,714950,2.0,2.0,1465.0,5.0,7.0,7.0,488.0,716883.0,5794.0,714950.0,724950.0,
Townhouse,Fremont,94536,1129888,3.0,2.5,1663.0,7.0,6.0,7.0,679.0,1123016.0,8507.0,1129888.0,,668888.0
Condo/Co-op,Milpitas,95035,669000,3.0,1.0,1050.0,7.0,9.0,8.0,637.0,691284.0,5274.0,669000.0,,295000.0
Mobile/Manufactured Home,Milpitas,95035,380000,3.0,2.0,1028.0,7.0,9.0,8.0,370.0,379687.0,2687.0,380000.0,,
Townhouse,Milpitas,95035,1188000,3.0,2.5,1810.0,7.0,7.0,8.0,656.0,,8785.0,1188000.0,,
Single Family Residential,Milpitas,95035,1198888,2.0,2.0,1219.0,8.0,7.0,8.0,984.0,1235474.0,8477.0,1198888.0,,
Single Family Residential,Milpitas,95035,1699000,5.0,3.0,1885.0,7.0,7.0,8.0,901.0,1736028.0,12013.0,,569888.0,
Condo/Co-op,Milpitas,95035,1290000,3.0,3.5,1861.0,5.0,7.0,8.0,693.0,1361907.0,9479.0,1290000.0,,
Single Family Residential,Milpitas,95035,1329000,4.0,2.0,1488.0,8.0,9.0,8.0,893.0,1336258.0,9397.0,1329000.0,,
Single Family Residential,Milpitas,95035,3299000,4.0,3.0,3858.0,8.0,9.0,8.0,855.0,3289804.0,23526.0,,3299000.0,
Townhouse,Milpitas,95035,1498000,3.0,2.5,1528.0,8.0,7.0,8.0,980.0,1506371.0,10932.0,1498000.0,,
Townhouse,Milpitas,95035,1098880,2.0,2.0,1371.0,7.0,7.0,8.0,802.0,1177872.0,8154.0,1098880.0,,928000.0
Townhouse,Milpitas,95035,1218000,3.0,3.0,1709.0,5.0,7.0,8.0,713.0,1285157.0,8982.0,1218000.0,,
Mobile/Manufactured Home,Milpitas,95035,399000,3.0,2.0,1195.0,8.0,9.0,8.0,334.0,394760.0,2821.0,399000.0,,36000.0
Single Family Residential,Milpitas,95035,980000,3.0,2.0,1210.0,7.0,7.0,8.0,810.0,1012307.0,6929.0,980000.0,,
Townhouse,Milpitas,95035,825000,3.0,1.5,1155.0,8.0,7.0,8.0,714.0,850182.0,6233.0,825000.0,,
Single Family Residential,Milpitas,95035,1588887,4.0,2.5,2392.0,8.0,7.0,8.0,664.0,1612573.0,11234.0,1588887.0,1588888.0,
Single Family Residential,Milpitas,95035,1568888,3.0,2.0,1431.0,7.0,9.0,8.0,1096.0,1590623.0,11093.0,1568888.0,,
Single Family Residential,Milpitas,95035,1140000,3.0,1.0,1040.0,7.0,9.0,8.0,1096.0,1143717.0,8061.0,1140000.0,1240000.0,
Townhouse,Milpitas,95035,1193495,3.0,3.0,1454.0,8.0,7.0,6.0,821.0,,8873.0,1193495.0,,
Single Family Residential,Milpitas,95035,1699888,4.0,3.5,2405.0,7.0,9.0,8.0,717.0,1700370.0,12476.0,1725000.0,1699888.0,
Single Family Residential,Milpitas,95035,1598000,4.0,2.0,1829.0,5.0,7.0,8.0,874.0,1600837.0,11299.0,1598000.0,1668000.0,1688000.0
Single Family Residential,Milpitas,95035,1600000,4.0,3.0,2817.0,8.0,9.0,8.0,568.0,1609028.0,11313.0,,,
Condo/Co-op,Milpitas,95035,1168887,3.0,2.5,1458.0,8.0,7.0,6.0,802.0,1158899.0,8877.0,1168887.0,1168888.0,
Single Family Residential,Milpitas,95035,2598888,4.0,3.0,2549.0,8.0,7.0,8.0,1020.0,2533596.0,18376.0,2598888.0,2798888.0,
Townhouse,Milpitas,95035,1420025,3.0,3.0,1769.0,8.0,7.0,6.0,803.0,,10474.0,1420025.0,,
Single Family Residential,San Jose,95132,1399000,6.0,4.0,1408.0,7.0,7.0,6.0,994.0,1431804.0,9926.0,1399000.0,1499000.0,
Condo/Co-op,Milpitas,95035,948888,3.0,2.0,1174.0,8.0,9.0,8.0,808.0,928784.0,7417.0,948888.0,,
Townhouse,Milpitas,95035,800000,3.0,1.5,1150.0,7.0,7.0,8.0,696.0,791886.0,6028.0,800000.0,,
Single Family Residential,Milpitas,95035,10500000,5.0,5.5,7000.0,7.0,9.0,8.0,1500.0,9606601.0,74242.0,10500000.0,,3495000.0
Other,Milpitas,95035,2780000,,,,7.0,9.0,8.0,,,19656.0,2780000.0,2879900.0,287990.0
Mobile/Manufactured Home,Milpitas,95035,449900,3.0,2.0,1220.0,7.0,9.0,8.0,369.0,429108.0,3181.0,449900.0,,
Mobile/Manufactured Home,Milpitas,95035,329000,2.0,2.0,1040.0,8.0,9.0,8.0,316.0,317583.0,2326.0,329000.0,339000.0,
Vacant Land,Milpitas,95035,3000000,,,,,7.0,8.0,,2828708.0,21212.0,3000000.0,3000000.0,
Vacant Land,Milpitas,95035,3998000,,,,7.0,9.0,8.0,,3682398.0,28268.0,3998000.0,3998000.0,
Single Family Residential,Milpitas,95035,11990000,3.0,2.0,1750.0,7.0,9.0,8.0,6851.0,10463659.0,84777.0,11990000.0,11999000.0,11990000.0
