PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_PRICE
Single Family Residential,Redwood City,94062,1795000,4.0,2.5,1990.0,,,6.0,902.0,1801171.0,12692.0,1795000.0,,1698000.0
Single Family Residential,Redwood City,94061,2248000,4.0,2.5,2030.0,,,6.0,1107.0,2237032.0,15895.0,2248000.0,,
Single Family Residential,Woodside,94062,7200000,4.0,5.0,5388.0,,,6.0,1336.0,7234265.0,50908.0,7200000.0,,
Single Family Residential,Woodside,94062,6998000,5.0,4.5,7300.0,,,6.0,959.0,6944226.0,49480.0,6998000.0,,
Single Family Residential,Redwood City,94061,1695000,3.0,2.0,1350.0,,,6.0,1256.0,1705994.0,11985.0,1695000.0,,579500.0
Condo/Co-op,Redwood City,94061,879900,3.0,2.0,1157.0,,,6.0,761.0,,7036.0,879900.0,,
Single Family Residential,Redwood City,94061,2500000,3.0,2.0,2920.0,3.0,,6.0,856.0,2491042.0,17677.0,2500000.0,,1299000.0
Single Family Residential,Redwood City,94062,3598000,4.0,3.5,2271.0,,3.0,6.0,1584.0,3532767.0,25440.0,,3598000.0,
Single Family Residential,Redwood City,94062,4980000,4.0,4.5,4041.0,,,6.0,1232.0,4935849.0,35519.0,4980000.0,,
Single Family Residential,Redwood City,94062,1599000,3.0,1.0,1489.0,,,6.0,1074.0,1593111.0,11306.0,1599000.0,1599000.0,
Single Family Residential,Redwood City,94062,2989000,4.0,3.0,2501.0,,,6.0,1195.0,2982435.0,21134.0,2989000.0,,1395000.0
Single Family Residential,Redwood Shores,94065,2050000,3.0,2.0,1470.0,7.0,9.0,9.0,1395.0,2055014.0,14495.0,2050000.0,1898891.0,1988891.0
Condo/Co-op,Redwood City,94061,1349000,3.0,2.0,1550.0,3.0,,6.0,870.0,1338383.0,10238.0,1349000.0,,
Single Family Residential,Redwood City,94062,3695000,4.0,3.5,3280.0,,,6.0,1127.0,3681144.0,26126.0,3695000.0,,2599000.0
Single Family Residential,Redwood City,94062,2598000,4.0,3.0,2436.0,,3.0,6.0,1067.0,2591536.0,18369.0,,,2598000.0
Single Family Residential,Redwood City,94063,749000,1.0,1.0,570.0,,,6.0,1314.0,743960.0,5296.0,749000.0,,
Single Family Residential,Redwood City,94062,2650000,4.0,2.0,2120.0,,,6.0,1250.0,2728086.0,18737.0,2650000.0,2800000.0,
Single Family Residential,Woodside,94062,2249000,4.0,2.0,2500.0,,,,900.0,2227666.0,15902.0,2249000.0,2550000.0,250050.0
Vacant Land,Woodside,94062,950000,,,,,,,,911813.0,6717.0,950000.0,1950000.0,
Vacant Land,Woodside,94062,950000,,,,,,,,907548.0,6717.0,950000.0,,
Multi-Family (2-4 Unit),Redwood City,94063,2250000,,,4156.0,,,6.0,541.0,2196817.0,15909.0,2250000.0,2350000.0,
Single Family Residential,Redwood City,94063,849000,2.0,1.0,835.0,,,6.0,1017.0,,6003.0,849000.0,,
Multi-Family (2-4 Unit),Redwood City,94061,1750000,6.0,4.0,2500.0,,3.0,6.0,700.0,1740766.0,12374.0,1750000.0,,
Single Family Residential,Redwood Shores,94065,3488000,4.0,3.0,2690.0,7.0,9.0,9.0,1297.0,3357279.0,25012.0,3488000.0,,1499999.0
Multi-Family (5+ Unit),Redwood City,94063,3689000,0.0,,7040.0,3.0,,6.0,524.0,,26084.0,3689000.0,,
Single Family Residential,Woodside,94062,2600000,3.0,3.0,2550.0,,,,1020.0,2528522.0,18384.0,2600000.0,,
Single Family Residential,Redwood City,94062,4150000,4.0,3.5,3419.0,,,6.0,1214.0,4057493.0,29343.0,4150000.0,4500000.0,
Condo/Co-op,Redwood Shores,94065,998000,1.0,2.0,1323.0,7.0,9.0,9.0,754.0,980227.0,7545.0,998000.0,1029000.0,
Single Family Residential,Redwood City,94062,2988000,4.0,3.0,2808.0,,3.0,6.0,1064.0,2935450.0,21127.0,2988000.0,3125000.0,
Multi-Family (2-4 Unit),Redwood City,94063,999888,4.0,2.0,1320.0,,,6.0,757.0,997856.0,7070.0,999888.0,,425000.0
